eq_time 发震时间
eq_magnitude 地震震级
eq_site 发震地点
eq_alarm_level 告警等级
eq_blind_casualty 伤亡人员盲估
eq_intensity 灾情衰减分析主题图
eq_religion 灾区宗教文化
eq_eq_history 灾区历史地震信息
eq_geographic_environment 灾区地理环境信息
eq_airport_damage 机场道路受损情况分析
eq_local_rescue 当地救援情况开展工作
eq_secondary_disaster 可能的次生灾害分析
eq_economic_level 当地经济发展水平
eq_seismic_damage 重大工程震害分析
modelresult_casualty 人口伤亡数据表
CasualtyInfo 人口伤亡信息
CasualtyInfo_peopleByOval 人口总数
CasualtyInfo_intensity 烈度值
CasualtyInfo_longtitude 中心点经度值
CasualtyInfo_latitude 中心点纬度值
CasualtyInfo_deathRatio 死亡率
CasualtyInfo_deathPeople 死亡人数
earthquakeID 地震标识ID
taskID 任务标识ID
modelresult_construction 建筑损失数据
ConstructionLossInfo 建筑物损失信息
ConstructionLossInfo_earthquakeDamageRatio 建筑物损失程度
ConstructionLossInfo_intensity 建筑烈度值
ConstructionLossInfo_magnitude 建筑物震级
ConstructionLossInfo_longtitude 建筑物中心点经度值
ConstructionLossInfo_latitude 建筑物中心点纬度值
modelresult_economic 经济损失数据
economicLoss 经济损失情况
magnitude 震级
longitude 经度值
latitude 纬度值
modelresult_intensity 地震烈度数据
circles 烈度圈信息
circles_longAxis 烈度圈长轴大小
circles_intensity 烈度圈对应烈度
circles_longitude 烈度圈经度值
circles_azimuth 烈度圈方位角
circles_latitude 烈度圈纬度值
circles_shortAxis 烈度圈短轴大小
modelresult_landslide 山体滑坡数据
possibility 发生概率
modelresult_mudsilide 泥石流数据
modelresult_traffic 地震交通线数据
trafficLoss 交通损失情况
modelresult_tsunami 地震海啸数据
waterGrowth 水位上升情况
